Round,TeamA,TeamB,GoalsA,GoalsB,Year
17,MacPT,HapKS,3,0,2014
17,MacNa,HapHa,0,2,2014
17,HapAc,HapPT,1,1,2014
17,MemAs,BeiYe,3,3,2014
17,MacHa,MacTA,0,1,2014
18,HapHa,HapKS,1,2,2014
18,HapPT,MemAs,1,2,2014
18,HapBS,MacPT,1,0,2014
18,MacTA,HapAc,3,0,2014
18,HapRa,MacHa,1,0,2014
18,BneSa,MacNa,0,2,2014
18,BeiYe,HapTA,1,1,2014
19,HapTA,HapPT,0,0,2014
19,MemAs,MacTA,0,1,2014
19,HapAc,HapRa,0,2,2014
19,MacPT,HapHa,0,0,2014
19,MacHa,HapBS,1,0,2014
19,HapKS,BneSa,1,1,2014
19,MacNa,BeiYe,2,0,2014
20,MacHa,MacPT,0,1,2014
20,BneSa,HapHa,2,0,2014
20,HapPT,MacNa,1,1,2014
20,HapBS,HapAc,3,0,2014
20,BeiYe,HapKS,3,1,2014
20,HapRa,MemAs,2,0,2014
20,MacTA,HapTA,2,0,2014
21,HapTA,HapRa,2,1,2014
21,HapKS,HapPT,3,2,2014
21,MacPT,BneSa,2,0,2014
21,MemAs,HapBS,2,2,2014
21,HapAc,MacHa,0,0,2014
21,MacNa,MacTA,3,3,2014
21,HapHa,BeiYe,3,4,2014
22,MacHa,MemAs,5,0,2014
22,HapAc,MacPT,0,2,2014
22,HapPT,HapHa,2,1,2014
22,HapRa,MacNa,2,1,2014
22,HapBS,HapTA,1,0,2014
22,BeiYe,BneSa,1,2,2014
22,MacTA,HapKS,1,1,2014
23,MacNa,HapBS,4,2,2014
23,HapKS,HapRa,1,1,2014
23,BneSa,HapPT,0,0,2014
23,MemAs,HapAc,0,0,2014
23,HapHa,MacTA,2,0,2014
23,MacPT,BeiYe,1,1,2014
23,HapTA,MacHa,2,2,2014
24,HapAc,HapTA,1,0,2014
24,MemAs,MacPT,0,0,2014
24,HapRa,HapHa,2,0,2014
24,MacTA,BneSa,2,0,2014
24,HapPT,BeiYe,0,1,2014
24,HapBS,HapKS,2,1,2014
24,MacHa,MacNa,2,1,2014
25,HapHa,HapBS,1,1,2014
25,BneSa,HapRa,2,0,2014
25,HapPT,MacPT,0,0,2014
25,MacNa,HapAc,1,1,2014
25,HapTA,MemAs,3,1,2014
25,HapKS,MacHa,0,1,2014
25,BeiYe,MacTA,1,0,2014
26,MemAs,MacNa,2,3,2014
26,HapAc,HapKS,2,0,2014
26,MacPT,HapTA,2,1,2014
26,MacHa,HapHa,2,0,2014
26,HapRa,BeiYe,0,2,2014
26,HapBS,BneSa,2,0,2014
26,MacTA,HapPT,2,0,2014
27,HapBS,MacPT,3,0,2014
27,HapKS,BeiYe,1,2,2014
27,MacTA,MacHa,2,1,2014
27,HapRa,MemAs,4,0,2014
27,HapTA,HapAc,2,0,2014
27,BneSa,HapHa,1,0,2014
27,MacNa,HapPT,3,1,2014
28,MacHa,BeiYe,1,0,2014
28,MacPT,HapKS,0,1,2014
28,MacTA,HapBS,3,1,2014
28,HapHa,HapTA,0,1,2014
28,HapRa,MacNa,1,2,2014
28,MemAs,HapAc,0,0,2014
28,HapPT,BneSa,2,3,2014
29,BeiYe,MacPT,0,0,2014
29,HapBS,MacHa,1,1,2014
29,HapKS,MacTA,0,0,2014
29,HapTA,HapPT,1,2,2014
29,HapAc,HapHa,1,0,2014
29,BneSa,HapRa,1,1,2014
29,MacNa,MemAs,0,0,2014
30,MacTA,BeiYe,4,1,2014
30,HapBS,HapKS,2,2,2014
30,MacHa,MacPT,0,0,2014
30,HapPT,HapAc,0,2,2014
30,HapRa,HapTA,2,2,2014
30,MemAs,HapHa,0,0,2014
30,MacNa,BneSa,2,3,2014
31,MacPT,MacTA,1,1,2014
31,BeiYe,HapBS,1,1,2014
31,HapKS,MacHa,1,0,2014
31,HapTA,MacNa,2,1,2014
31,BneSa,MemAs,1,1,2014
31,HapAc,HapRa,2,0,2014
31,HapHa,HapPT,3,2,2014
32,BeiYe,HapKS,0,1,2014
32,MacPT,HapBS,1,2,2014
32,MacHa,MacTA,1,1,2014
32,BneSa,HapTA,2,0,2014
32,MemAs,HapPT,4,2,2014
32,HapRa,HapHa,1,2,2014
32,MacNa,HapAc,1,2,2014
33,HapKS,MacPT,2,0,2014
33,BeiYe,MacHa,1,1,2014
33,HapBS,MacTA,1,1,2014
